REGIONS_COUNTRIES,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
EUROPE,21063326,21863840,23006722,21872430,18645351,18808688,19740019,18663178,18343409,18587650,19035989,20134829,20755099,20697887
EU 28 countries + EFTA,18186036,18516490,18870211,17385906,16226713,15665090,15664437,14358331,14136041,14995361,16454281,17568449,17921918,18015891
EU 15 countries + EFTA,16942079,17161729,17297311,15813252,15228050,14696720,14683816,13419914,13191331,13913189,15223766,16145220,16407754,16374020
AUSTRIA,345593,347387,339691,336000,350429,362564,396655,374829,357892,342215,349597,374545,402924,394038
BELGIUM,551501,594454,602365,612692,536260,607497,643511,550519,547139,545255,571524,617854,633642,639444
DENMARK,211159,226339,226214,191169,131788,173566,198518,199147,210839,221713,245484,265386,263596,258001
FINLAND,168121,166673,147842,160998,103016,126396,144425,126505,117368,120113,123483,136430,136534,136881
FRANCE,2598183,2544165,2629186,2614829,2718599,2708884,2687052,2331731,2207373,2210927,2345092,2478472,2549402,2632621
GERMANY,3614886,3772394,3482279,3425039,4049353,3198416,3508454,3394002,3257718,3356718,3539825,3708867,3810408,3822060
GREECE,295266,294060,306875,292865,237118,153842,104682,62518,62570,76665,82044,85008,95345,110490
ICELAND,20870,20198,19305,10579,2471,3395,5471,8507,8022,10630,15605,20735,23496,19953
IRELAND,213706,225723,236353,185620,68031,99986,102443,91728,87096,114985,150680,177719,155539,151115
ITALY,2495436,2606375,2777175,2421918,2357443,2164153,1942949,1545764,1420814,1493008,1726079,2050292,2191760,2121781
LUXEMBOURG,53122,55512,56647,58405,51462,53993,55015,55049,50886,54322,51607,56369,57683,57707
NETHERLANDS,545983,568717,601534,604135,451907,542312,627757,571803,481435,450330,521178,469410,487939,522870
NORWAY,152588,158407,182203,153247,127437,162354,180313,176909,180042,180273,190106,197991,201922,186836
PORTUGAL,278470,265174,276606,275127,203760,272754,191362,113435,126689,172357,213654,247343,260844,267721
SPAIN,1959488,1953134,1939298,1362586,1074222,1114119,931404,790991,822950,1029782,1277059,1347344,1434593,1563496
SWEDEN,316108,329960,358717,301459,247513,334134,359066,326441,313067,352467,396693,431818,442836,418090
SWITZERLAND (+FL),293472,298697,315402,321326,294699,324779,355256,366273,343718,338404,362650,355882,348886,336640
UNITED KINGDOM,2828127,2734360,2799619,2485258,2222542,2293576,2249483,2333763,2595713,2843025,3061406,3123755,2910405,2734276
EUROPE NEW MEMBERS,1243957,1354761,1572900,1572654,998663,968370,980621,938417,944710,1082172,1230515,1423229,1514164,1641871
BULGARIA1,34940,45300,55336,57927,26813,20082,23529,22770,22966,24331,28053,31260,38394,42731
CROATIA,79675,89092,94695,100415,50859,42031,45935,35654,33819,40196,43668,53929,60783,69190
CYPRUS,20986,22383,27517,27533,18419,17920,15958,11563,8051,9447,11834,14559,15148,14833
CZECH REPUBLIC,175923,183631,207038,215451,186790,186648,194945,193795,185939,215594,260070,291008,301805,281893
ESTONIA,23511,30754,37480,29000,11489,12203,20346,23073,23383,24845,24921,27401,30452,31367
HUNGARY,219461,209280,193581,174837,70808,55221,60993,68168,72975,88719,100933,123807,136465,159654
LATVIA,16135,21744,31090,28885,8918,10369,17929,14497,14480,16261,17764,20345,19035,19325
LITHUANIA,19639,30443,39690,24085,6244,7534,14312,16669,17586,19039,23249,29380,29246,36266
MALTA,7229,7320,7119,6158,6374,5004,7030,6475,6312,7034,7929,8157,8605,9049
POLAND,255107,280474,355285,398487,322341,366577,338781,329799,353197,392476,432439,504550,577297,633284
ROMANIA,248462,282985,356577,325867,133561,104090,95508,80723,71016,100336,120591,142020,121981,158278
SLOVAKIA,75033,83519,89094,102378,92761,73820,77904,78189,75204,81960,90091,100600,103689,111865
SLOVENIA,67856,67836,78398,81631,63286,66871,67451,57042,59782,61934,68973,76213,71264,74136
"RUSSIA, TURKEY & OTHER EUROPE",2877290,3347350,4136511,4486524,2418638,3143598,4075582,4304847,4207368,3592289,2581708,2566380,2833181,2681996
ALBANIA,1000,1000,1800,1800,1200,1800,2260,2500,2490,2750,2750,2750,1668,2448
ARMENIA,11430,12450,6480,4400,4400,4400,4400,5400,5390,5600,2500,2700,2450,1800
BELARUS,13000,18000,27000,32000,17000,19000,20000,24500,24000,25800,25800,22500,34809,52345
BOSNIA,11500,11600,16700,14400,13205,11000,11000,10740,10520,9500,9300,10200,23022,23934
GEORGIA,2700,3200,7300,9000,2000,5000,4000,5300,5300,5500,4200,4300,3230,3520
MACEDONIA,10060,10790,11200,11500,6800,9500,9400,5650,2800,3500,3900,4300,3777,4400
MOLDAVIA,4550,5570,7610,11500,4200,5200,5900,5300,5400,6000,3800,4500,5609,6386
RUSSIA,1806625,2244840,2898032,3222346,1597457,2107135,2901612,3141551,2998650,2592396,1440923,1404464,1657570,1821320
SERBIA,24516,30761,39947,44255,33500,31242,25321,26700,26800,27800,25000,27600,25370,28000
TURKEY,715212,617838,594762,494355,557126,760913,864439,817620,893124,807486,1011194,1007857,980277,641541
UKRAINE,276697,391301,525680,640968,181750,188408,227250,259586,232894,105957,52341,75209,95399,96302
AMERICA,23338854,23356675,23609065,20902901,17497045,19719981,21578039,23670893,25030005,25475531,25688159,25549212,25453354,25712290
NAFTA,20242979,19899024,19301479,16240451,12859351,14203961,15597614,17526688,18764508,19910156,21174615,21497241,21119818,21107852
CANADA,1630142,1666008,1690345,1673522,1482232,1583388,1620221,1716178,1780523,1890387,1939517,1983745,2038799,1984992
MEXICO2,1168508,1184035,1150819,1073764,775751,848354,936780,1024574,1100542,1176305,1389474,1647723,1530498,1421458
UNITED STATES OF AMERICA,17444329,17048981,16460315,13493165,10601368,11772219,13040613,14785936,15883443,16843464,17845624,17865773,17550521,17701402
CENTRAL & SOUTH AMERICA,3095875,3457651,4307586,4662450,4637694,5516020,5980425,6144205,6265497,5565375,4513544,4051971,4333536,4604438
ARGENTINA,402690,460478,564926,611770,487142,698404,883350,830058,963917,613848,644021,709482,862332,773641
BAHAMAS,3351,2801,2903,2900,4400,3200,3000,3500,2800,2500,3500,3300,1968,1644
BELIZE,200,300,200,400,400,250,300,400,410,400,800,900,794,528
BOLIVIA,2800,3500,3500,3700,3000,11000,14000,21000,22400,30900,21400,27800,32550,34000
BRAZIL,1714644,1927738,2462728,2820350,3141240,3515064,3633248,3802071,3767370,3498012,2568976,2050321,2172738,2468434
CHILE,200000,200000,230000,252690,180696,303360,356183,362331,397643,353525,297785,319606,369029,417495
COLOMBIA,150000,205000,235000,210000,195000,285000,295000,285000,286800,314100,272400,246500,227662,245622
COSTA RICA,16000,20000,17000,19000,16500,24000,34000,36000,36200,42100,52800,60000,49412,39530
CUBA,3000,2600,3500,4100,1900,2400,3500,4500,4530,4500,4500,6900,5892,6098
DOMINICAN REPUBLIC,28386,28298,29852,23267,9181,10056,20031,15373,16481,17436,21489,24024,252,167
ECUADOR,93057,89558,91778,112684,92764,132172,139893,121446,113812,120060,81309,63555,99345,130783
EL SALVADOR,13000,12000,14000,16000,3000,7000,8000,11000,11400,11800,12400,10600,8800,9373
GUADELOUPE,17327,16544,18888,17647,16928,16009,16364,15452,14716,14773,15720,16571,18601,20029
GUATEMALA,11800,13400,16600,18300,19500,22100,24000,26000,27900,29800,31200,29900,25320,25400
GUYANA,5353,5604,6182,5994,5947,5717,6036,5725,5542,5534,5623,5885,6191,6890
HONDURAS,8500,9600,12100,14000,13000,9000,10000,11000,12000,11600,11300,10200,11710,12373
JAMAICA,4000,4000,5000,5000,6000,3000,3500,4500,4700,5000,5900,5100,5379,7176
MARTINIQUE,17664,17151,17840,16768,15647,15286,15325,13576,13018,13351,15215,16495,16792,17720
NICARAGUA,8000,10000,10000,10000,5000,6000,6000,8000,9300,9400,11200,12700,9500,11811
PANAMA,25000,30000,26000,35000,33000,38000,44000,48000,48300,52200,56300,57700,54768,45396
PARAGUAY,8000,8000,11000,21000,12000,19000,30000,30000,30600,31000,28200,22700,27851,32795
PERU,23346,32876,51017,92539,76932,120800,150037,190761,201326,187081,173388,169718,163000,147916
PUERTO RICO,136000,120000,132000,110000,110000,75000,95000,97000,99500,100200,92500,112200,90650,90000
TRINIDAD,14000,14000,8000,14000,14000,14000,14000,14500,14900,16000,19600,20200,13500,13324
URUGUAY,15000,15000,19000,25000,38000,55000,54969,56459,61054,56548,51318,47114,54500,44215
VENEZUELA,174757,209203,318572,200341,136517,125202,120689,130553,98878,23707,14700,2500,5000,2078
ASIA/OCEANIA/MIDDLE EAST,20408597,21818586,23625638,24284313,28267659,35191633,35405435,38225604,40579135,42556996,43410904,46857884,48314672,47410253
AUSTRALIA,988269,962666,1049982,1012165,937328,1035574,1008437,1112032,1136227,1113230,1155408,1178133,1189116,1121396
AZERBAIDJAN,12670,13590,15740,15800,10800,13700,10850,15000,22700,25200,10500,4200,2000,4000
BAHRAIN,20000,23000,25000,36000,38000,35000,31000,47000,53000,61100,58300,46300,36037,35962
BANGLADESH,15000,19100,22000,28000,38500,40400,39900,43400,42500,51900,54800,44400,4400,4650
BRUNEI,16000,16000,11000,16000,10500,10500,17000,20000,19600,24000,17000,16200,12800,13000
CAMBODGE,1700,1700,2400,2400,2600,2900,3400,3400,3400,4100,6100,6300,4200,4057
CHINA,5758189,7215972,8791528,9380502,13644794,18061936,18505114,19306435,21984079,23499001,24661602,28028175,28878904,28080577
HONG-KONG,35863,35467,40997,44117,32900,49237,53333,53909,57549,62200,58800,46200,41906,39139
INDIA,1440455,1750892,1993721,1983071,2266269,3040390,3287737,3595508,3241302,3177005,3424836,3669277,4059455,4400136
INDONESIA,533917,318904,433341,603774,486088,764710,894164,1116230,1229811,1195409,1031422,1048134,1069674,1152789
IRAK,30700,32200,35000,62000,63000,165000,131500,120000,117500,87700,49200,24800,33553,53528
IRAN,857500,971000,1037900,1190000,1320000,1642843,1688194,1044430,804750,1287600,1222000,1448500,1429172,959628
ISRAEL,156000,156000,220000,192000,174500,217000,227000,206500,215500,242400,260200,292700,286472,271497
JAPAN,5852034,5739520,5309200,5082233,4609333,4956148,4210224,5369721,5375513,5562888,5046510,4970260,5234166,5272067
JORDAN,20000,15100,14700,18000,21000,20000,22000,23000,29000,23800,22800,20500,20614,21236
KAZAKHSTAN,42372,42820,45981,44500,45000,29000,43348,98231,165710,163561,97469,46712,97471,97472
KIRGHIZISTAN,5800,5800,5900,4900,5450,4800,5900,4800,4800,4800,4800,2000,2210,2345
KUWAIT,80000,84000,90000,99500,108500,110000,114500,140000,151500,152300,143800,108000,101523,103235
LAOS,1100,1150,1800,2600,4000,5000,5000,7000,9000,14700,14600,10900,8114,8906
LEBANON,16000,16000,21000,34000,34500,35500,33500,37500,37500,40300,40700,37800,39881,35301
MALAYSIA,551042,490748,487176,548115,536905,605156,600123,627753,655793,666487,666677,580124,576636,598714
MONGOLIA,800,1300,1700,3750,3600,3300,3290,2290,2200,1600,1000,1700,5680,6440
MYANMAR,2000,2000,2000,2200,2500,2800,2800,3100,3000,1800,1800,2300,7047,15098
NEPAL,1400,1500,2600,2300,3000,2000,4000,5600,5500,8300,5900,9300,12445,21059
NEW CALEDONIA,10670,11298,12460,12684,12215,12772,12826,11987,10888,10910,9974,9279,8556,8214
NEW ZEALAND,117426,112211,115041,106190,73202,83250,84143,100795,113294,126508,134041,146753,159363,156032
OMAN,207100,204600,203900,198500,155500,178000,169500,204500,215000,208400,167600,154900,77270,63598
PAKISTAN,167007,187644,188109,157182,111696,152354,163260,157656,141778,146882,229688,211295,239725,254938
PALESTINE,16600,18600,19700,22900,20600,21900,24700,36600,35800,35800,35800,35800,510,146
PHILIPPINES,97063,99541,117903,124449,132444,170348,165056,184248,211959,234747,288609,359572,468981,401345
QATAR,84500,83400,83100,81000,55000,55500,61000,80000,85000,92900,86400,63700,50686,47508
SAUDI ARABIA,562900,556100,554400,540000,520000,600000,590000,705000,740000,828200,830100,655500,500601,403857
SINGAPORE,125018,132483,122254,110574,79503,51891,39570,37247,34111,44776,76191,108061,116127,95206
SOUTH KOREA,1145230,1176919,1278624,1246086,1461865,1511373,1586405,1532087,1543564,1661868,1833786,1823041,1829988,1827141
SRI LANKA,4000,4200,4700,4800,5000,3000,8000,9500,12000,15500,17000,34900,15116,13081
SYRIA,39985,51467,41500,46800,51600,87547,39960,44000,43100,39700,39700,39700,5000,7800
TADJIKISTAN,5440,5850,5990,6200,7200,6700,7710,6300,6290,6400,6400,2300,2210,2430
TAHITI,7300,7100,7700,7200,5200,5500,5000,4000,3500,3900,3400,3800,6262,7168
TAIWAN,446477,306458,276434,178809,229450,252500,285790,270078,258753,282130,262593,262346,434657,423182
THAILAND,692506,674953,631181,615270,548870,800357,794081,1423580,1330672,881832,799632,768788,1006062,1086929
TUKMENISTAN,4000,4300,4420,4700,4700,4700,5200,4700,4700,4800,4800,5000,5315,5665
UNITED ARAB EMIRATES,157000,175000,165000,233592,205088,168323,243982,268900,263100,263100,256700,198500,12800,13900
UZBEKISTAN,35200,38100,40800,56500,59000,56500,62000,57000,57500,58100,58100,56300,58800,61400
VIETNAM,35264,41133,81056,111950,119459,112224,110938,80487,96692,134562,208566,271833,211998,246500
YEMEN,9100,10800,10700,11000,11000,4000,4000,4100,4000,4600,5600,3600,1800,1200
AFRICA,1113017,1314275,1321974,1255851,1158774,1251221,1446927,1569463,1653587,1717921,1549556,1314463,1137481,1235507
ALGERIA,99422,109578,127030,146892,176773,133406,227925,255167,304854,292100,215400,96600,101183,127300
ANGOLA,9000,12000,5500,5500,15000,30000,15000,28000,29000,35700,18000,7300,3961,2404
BOTSWANA,4200,3600,5200,7100,7000,6000,6200,6600,6900,7400,7500,8100,8100,8171
BURKINA,700,700,700,900,1050,1100,1500,800,1100,900,1400,2300,1064,1074
BURUNDI,1000,1000,1100,1000,1000,600,500,510,530,400,400,1100,63,44
CAMEROON,3500,4100,4000,3800,2600,2900,2900,3400,4400,4400,4200,4200,3118,3079
CONGO KINSHASA,1090,1260,1110,1300,3500,2500,2500,3000,2400,2400,3100,2300,574,771
EGYPT,121437,170614,206060,239833,205521,248917,271900,286300,283000,349100,332100,264100,128941,184456
GABON,3800,4000,4200,4000,4000,4000,4000,5500,5500,4900,3300,3000,1927,2013
GHANA,4500,4500,5100,5500,6500,6000,9000,14500,13600,13000,4800,7400,6669,7073
IVORY COAST,3000,3500,4000,4000,4500,5500,5500,7500,6000,6400,7100,6400,8553,9640
KENYA,6000,5000,7000,7000,7500,6000,6000,9500,13000,13500,14100,10600,5248,7416
LIBERIA,400,300,400,500,300,500,400,410,430,400,400,600,283,288
LIBYA,47000,48000,49500,51500,53000,54500,56500,29000,45000,45000,54100,46400,15000,18000
MADAGASCAR,2630,3100,3000,2700,2000,1800,2100,2200,2200,2600,2300,1400,2094,1995
MALAWI,1400,1670,1660,1500,1500,2200,2300,1500,1540,1700,1900,3900,1495,1514
MAURITIUS,4800,5500,6000,6000,5000,6000,4500,9500,10200,10600,10000,11000,10590,10134
MOROCCO,63655,84276,103597,121360,109969,103436,112093,130306,120755,122060,131910,163110,168593,177359
NIGERIA,23000,38000,12000,12000,51000,37000,45000,50000,52000,53900,20000,23000,8200,17000
REUNION,31627,29782,32149,29979,25839,24755,26268,24949,24233,25757,27697,29547,31035,32349
SENEGAL,5500,6500,7000,7000,6000,6000,5500,6000,6000,6800,5800,6600,6607,5831
SOUTH AFRICA,617406,714315,676108,533387,395222,492907,572241,623921,650745,644504,617749,547406,547406,552226
SUDAN,3000,3000,4500,5000,12000,3500,3800,3500,2500,3000,3600,3400,2614,1968
TANZANIA,3000,3000,3500,3000,3000,3200,4500,6000,6700,5800,5200,4500,2267,2380
TUNISIA,33000,38000,39000,43000,47000,59000,47500,49000,47000,50900,48500,50800,63653,51427
UGANDA,4000,4500,4000,3500,3500,3500,4000,4500,5000,4900,3100,4000,1807,1885
ZAMBIA,2950,3480,3560,3600,4000,3000,3000,3500,4000,4000,3400,3200,3283,3806
ZIMBABWE,12000,11000,5000,5000,4500,3000,4300,4400,5000,5800,2500,2200,3153,3904
ALL COUNTRIES,65923794,68353376,71563399,68315495,65568829,74971523,78170420,82129138,85606136,88338098,89684608,93856387,95660606,95055937
